setup,regime,config,sample_flag,n_signals,n_trades,wr,wr_ci_low,wr_ci_high,expectancy,exp_ci_low,exp_ci_high,median_pnl,p25,p75,std,sharpe,pf,max_dd,p_value,fdr_significant,bonferroni_significant,train_expectancy,test_expectancy,oos_pass,oos_reason
us_momentum,CRASH,drop_F4,WARNING,54,54,0.7037037037037037,0.5717242709884697,0.8086257486782021,32.42203760782191,7.298123026445634,55.137291051964816,43.57750000000033,-45.231911989565106,121.38999999999942,90.9093560482449,5.661506289589632,2.2635472838904884,-1080.456189721499,0.005711102837459961,True,False,32.42203760782191,0.0,False,test expectancy 0.0000 ≤ 0 (negative OOS)
us_momentum,CRASH,all_off,PRIMARY,996,996,0.4608433734939759,0.4300964244062636,0.4918912074208859,16.877232605586315,8.730138884214556,24.905920485814267,-41.74524999999994,-77.16114765068323,105.0,128.07089437147772,2.091948862191279,1.3992576600295428,-9723.739494895888,1.7367241868731415e-05,True,True,15.296500221696158,24.04321941255502,True,OOS ratio 157.18% ≥ 70%
orb_dax,CRASH,F5_CRASH:F5a_range_exp,REJECT,9,7,0.42857142857142855,0.15821985525146975,0.7495416354723428,56.93351332222249,-44.07613760141534,174.8982642994584,-38.5,-42.11727823274032,110.61099999999715,165.97453335774784,5.445362531290474,3.1449839115346014,-147.29840674442676,0.199546495014681,False,False,-46.44960168610669,194.7776666666614,False,train expectancy -46.4496 ≤ 0 (no in-sample edge)
orb_dax,CRASH,F5_CRASH:F5b_brooks_break,REJECT,51,42,0.38095238095238093,0.24999725763955144,0.5318595973284732,53.94930263115384,7.998337446535446,106.32615508442017,-38.5,-50.44854044358408,211.54399999999805,156.49976703887793,5.472331653960999,2.5087797053712992,-650.0115541738633,0.01549652229478221,False,False,12.986992797693574,185.0286940982267,True,OOS ratio 1424.72% ≥ 70%
orb_dax,CRASH,F5_CRASH:F5c_rsi_extreme,REJECT,8,6,1.0,0.6096657120978346,1.0,217.0219999999972,217.0219999999972,217.0219999999972,217.0219999999972,217.0219999999972,217.0219999999972,0.0,0.0,inf,0.0,1.0,False,False,0.0,217.0219999999972,False,train expectancy 0.0000 ≤ 0 (no in-sample edge)
orb_dax,CRASH,F5_CRASH:F5d_nr4,REJECT,39,31,0.1935483870967742,0.09187008361586096,0.36280257811795463,-16.391197782823163,-60.07382641310116,33.53779474193311,-62.78183279373661,-91.2428804436413,-38.5,137.42324735812971,-1.8934365410886012,0.7397077889867528,-1583.1474408502236,0.7441496981731806,False,False,-52.04016907646201,168.98345294409881,False,train expectancy -52.0402 ≤ 0 (no in-sample edge)
us_momentum,CALM,F5_CALM:F5a_macd_3_10,PRIMARY,232,232,0.5646551724137931,0.5003162154447149,0.6268878823844477,6.497555408245121,0.5867986917061101,12.970584751083981,12.452499999999418,-43.5,46.01875000000018,47.29993734562007,2.180668732958211,1.3712521534569209,-897.6256027183263,0.018749769291838764,False,False,7.40425775097878,4.636429546844451,False,OOS ratio 62.62% < 70%
us_momentum,CALM,F5_CALM:F5b_dual_ema,PRIMARY,214,214,0.5186915887850467,0.452010666420642,0.5847132888967195,0.4379480853981859,-5.944432104612424,7.169443452655872,3.8495000000011714,-43.5,31.730000000000473,49.286485937386715,0.14105713147321797,1.0206696506388495,-1627.6800021498257,0.4483494862509053,False,False,-5.498068017198646,8.775049353090365,False,train expectancy -5.4981 ≤ 0 (no in-sample edge)
us_momentum,CALM,F5_CALM:F5c_volume_profile,PRIMARY,410,410,0.4878048780487805,0.43975956416286177,0.5360765929285604,-0.3703546557101595,-5.264494603334005,4.652171370616613,-2.3400000000001455,-43.5,39.89375000000064,49.91840766350109,-0.11777615053460286,0.9835243915715615,-2297.4029056345425,0.5596703485137053,False,False,-1.057896734591727,0.8996883511127357,False,train expectancy -1.0579 ≤ 0 (no in-sample edge)
us_momentum,CALM,F5_CALM:F5d_atr_norm_momentum,PRIMARY,156,156,0.4358974358974359,0.3605494424755592,0.5143265743753913,-4.654481636042408,-12.38540673130905,4.13932766358967,-39.8219999999983,-48.31115944178873,29.211374999999407,53.067025494799324,-1.3923449572758266,0.8209601167860331,-1437.4720276476455,0.8624996050195489,False,False,-8.391041098445367,1.6590153866384534,False,train expectancy -8.3910 ≤ 0 (no in-sample edge)
